0.9599659618	cordon bleu
0.9524540571	mashed potatoes
0.9398326285	cabbage rolls
0.9343778666	strip mall
0.9296723110	eastern european
0.9234611999	sour cream
0.9192088190	downtown glendale
0.9176782634	cheese curds
0.9106469142	stuffed cabbage
0.9090992951	cole slaw
0.9053207237	pan fried
0.8946707237	green beans
0.8941044539	comfort food
0.8918921523	beaver balls
0.8843111999	pickled beets
0.8812445332	green bean salad
0.8337199301	mushroom gravy
0.8263977078	potato salad
0.8186873904	green bean
0.8041254856	tomato basil salad
0.7910675491	beaver choice
0.7841345473	yelp
0.7822045138	european
0.7788511828	canadian
0.7782964065	glendale
0.7704842158	swedish meatballs
0.7656854268	blue
0.7613799959	tuesday
0.7596694737	swedish
0.7595562509	pop
0.7573077185	arizona
0.7553025222	tempe
0.7551477078	mushroom sauce
0.7542030965	scandinavian
0.7490527284	city
0.7396649586	europe
0.7372041133	water
0.7366755914	pork
0.7360281493	apple
0.7340162143	valley
0.7339334221	tempe location
0.7316586138	beef
0.7297360839	schnitzel
0.7288889777	chicken cordon bleu
0.7278492559	potato
0.7273686742	huge
0.7243724230	poutine
0.7224599747	french
0.7188635251	chef
0.7184269519	meatballs
0.7180288742	gravy
0.7164217831	long
0.7161054099	salmon
0.7160887044	choice
0.7142810412	family owned
0.7139454642	beaver
0.7136862553	cake
0.7136204107	cash
0.7134447722	sausage
0.7132831570	check
0.7120804665	street
0.7120804665	light
0.7114384861	fish
0.7112363333	sweet
0.7102704094	fast
0.7086512823	salad
0.7078140557	family
0.7073891007	bean
0.7072993220	pan
0.7061902075	hot
0.7044589808	sauce
0.7043763854	potatoes
0.7037651646	restaurant
0.7029021834	kielbasa
0.7022275307	set
0.7019750346	quality
0.7019324882	forward
0.7003824755	chicken
0.6998279177	chocolate
0.6991719632	salads
0.6981112289	downtown
0.6980527766	big
0.6976992482	week
0.6975456961	games
0.6975456961	goods
0.6962194805	nice
0.6918516298	polish
0.6897570304	mushroom
0.6892485891	stars
0.6876109060	happy
0.6875997332	wait
0.6867055301	plenty
0.6864920842	balls
0.6831568693	run
0.6831021731	sandwich
0.6829873904	dill mashed potatoes
0.6821720962	soup
0.6813875613	slow
0.6803834484	asked
0.6787369923	strip
0.6783453093	mall
0.6779212223	pretty
0.6777693585	store
0.6773548883	meat
0.6772410303	beets
0.6769042592	enjoyed
0.6760350142	fries
0.6753504919	free
0.6741453248	real
0.6737547263	buy
0.6731320965	atmosphere
0.6728093147	cream
0.6728023800	fan
0.6716945261	menu
0.6716557509	friendly
0.6716254278	main
0.6709097294	bit
0.6700980934	green
0.6700893296	bread
0.6689348695	portions
0.6689193297	walk
0.6685306081	location
0.6684790376	walked
0.6684083578	prices
0.6676190590	cordon
0.6674930939	eastern
0.6671507887	smoked
0.6670193629	large
0.6669483584	middle
0.6668937488	cheese
0.6663600570	dill
0.6652167431	beet
0.6650274537	sides
0.6638159153	cooked
0.6629022816	cabbage
0.6627018016	tomato
0.6624622505	felt
0.6617747488	lot
0.6615772257	couple
0.6608603150	fact
0.6604056840	sour
0.6588019980	owners
0.6586419349	town
0.6565183064	bleu
0.6560981032	room
0.6540067405	choose
0.6538670720	type
0.6530382331	dinner
0.6529274278	warm
0.6525686502	close
0.6523350313	cuisine
0.6522033100	waitress
0.6519221632	food
